RID,START,DATETIME.UTC,DURATION,consent,Consent_2,Q1Age,Q2Gender,Q3Country,Q4Urban,Q5Ethnicity,Q8Postcode,Q6Occupation,Q7Income,Q9Insect_Word1,Q9Insect_Word2,Q9Insect_Word3,Q10Insect_Species1,Q10Insect_Species2,Q10Insect_Species3,BackgroundInfo_Check,Q11OpinionOnInsectPopulations_1,Q11OpinionOnInsectPopulations_2,Q12InsectIDQuiz_1,Q12InsectIDQuiz_2,Q12InsectIDQuiz_3,Q12InsectIDQuiz_4,Q12InsectIDQuiz_5,Q12InsectIDQuiz_6,Q12InsectIDQuiz_DV_1,Q12InsectIDQuiz_DV_2,Q12InsectIDQuiz_DV_3,Q12InsectIDQuiz_DV_4,Q12InsectIDQuiz_DV_5,Q12InsectIDQuiz_DV_6,Q12InsectIDQuizFollowUp_1,Q12InsectIDQuizFollowUp_2,CE_Task_Insect_Check_1,CE_Task_Plan_Check_1,CE_Task_A1_Check_1,CE_Task_A2_Check_1,CE_Task_A3_Check_1,CE_Task_A4_Check_1,CE_Task_A5_Check_1,CE_ConfirmYouHaveReadDescs,CE_TasksConsequentiality_1,CE_TasksConsequentiality_2,BidVectorElicitation_Randomiser,QX_BidVector_Beetles,CE_BlockAllocator,design_offset,QX_BidVector_Bees,QX_BidVector_Wasps,CE_1_DV,CE_2_DV,CE_3_DV,CE_4_DV,CE_5_DV,CE_6_DV,CE_7_DV,CE_8_DV,CE_9_DV,Q29CEProtest_Statements,Q29CEProtest_Other,CE_Debrief_Easy,CE_Debrief_Certain,CE_Debrief_Confident,CE_ANA_1,CE_ANA_2,CE_ANA_3,CE_ANA_4,CE_ANA_5,Biowell_Beetle1_Item1_Relaxed,Biowell_Beetle1_Item2_Joy,Biowell_Beetle1_Item3_Clear,Biowell_Beetle1_Item4_Open,Biowell_Beetle1_Item5_Connect,Biowell_Bee1_Item1_Relaxed,Biowell_Bee1_Item2_Joy,Biowell_Bee1_Item3_Clear,Biowell_Bee1_Item4_Open,Biowell_Bee1_Item5_Connect,Biowell_Wasp1_Item1_Relaxed,Biowell_Wasp1_Item2_Joy,Biowell_Wasp1_Item3_Clear,Biowell_Wasp1_Item4_Open,Biowell_Wasp1_Item5_Connect,Biowell_Beetle2_Item1_Relaxed,Biowell_Beetle2_Item2_Joy,Biowell_Beetle2_Item3_Clear,Biowell_Beetle2_Item4_Open,Biowell_Beetle2_Item5_Connect,Biowell_Bee2_Item1_Relaxed,Biowell_Bee2_Item2_Joy,Biowell_Bee2_Item3_Clear,Biowell_Bee2_Item4_Open,Biowell_Bee2_Item5_Connect,Biowell_Wasp2_Item1_Relaxed,Biowell_Wasp2_Item2_Joy,Biowell_Wasp2_Item3_Clear,Biowell_Wasp2_Item4_Open,Biowell_Wasp2_Item5_Connect,Biowell_Beetle3_Item1_Relaxed,Biowell_Beetle3_Item2_Joy,Biowell_Beetle3_Item3_Clear,Biowell_Beetle3_Item4_Open,Biowell_Beetle3_Item5_Connect,Biowell_Bee3_Item1_Relaxed,Biowell_Bee3_Item2_Joy,Biowell_Bee3_Item3_Clear,Biowell_Bee3_Item4_Open,Biowell_Bee3_Item5_Connect,Biowell_Wasp3_Item1_Relaxed,Biowell_Wasp3_Item2_Joy,Biowell_Wasp3_Item3_Clear,Biowell_Wasp3_Item4_Open,Biowell_Wasp3_Item5_Connect,Biowell_Debrief_Easy,Biowell_Debrief_Certain,Sliding_Beetles_Encounter,Sliding_Beetles_Ecology,Sliding_Beetles_Conserved,Sliding_Beetles_Important,Sliding_Bees_Encounter,Sliding_Bees_Conserved,Sliding_Bees_Ecology,Sliding_Bees_Important,Sliding_Wasps_Encounter,Sliding_Wasps_Conserved,Sliding_Wasps_Ecology,Sliding_Wasps_Important,Visit_Child,Visit_Teen,Visit_Adult,Q41_FreqOfVisitGreenSpace_1,Q41_FreqOfVisitBlueSpace_1,Q41_WalkTimeToGreenSpace,Q41_WalkTimeToBlueSpace,Q42_Charity,Q43_Citizen,Q44_Sight,Q45_Garden,Q46_Farm,Q47_Fish,Q48_Education,QDiscounting_1,QDiscounting_2,QDiscounting_3,QDiscounting_4,QDiscounting_5,QDiscounting_6,QDiscounting_7,QDiscounting_8,QDiscounting_9,QDiscounting_10,Pretest_AnyDifficultQuestions,Pretest_SliderOrLikert,Q50_Understanding,FurtherComments,SurveyCompletionTime,Speeders_Survey_Threshold,Slowers_Survey_Threshold,Speeders_Survey_TestDummy,Slowers_Survey_TestDummy,Valuation_Start,Valuation_Finish,Valuation_CompletionTime,Speeders_Valuation_Threshold,Slowers_Valuation_Threshold,Speeders_Valuation_TestDummy,Slowers_Valuation_TestDummy,ClassDummy,EmployDummy_Retired,EmployDummy_Employed,IncomeMidpoints,Income_MissingDummy,AgeGroup,Dummy_HighEducation,Age_1829Dummy,Age_3044Dummy,Age_4560Dummy,Age_60Dummy,AgeGroup_Numeric,IncomeMidpoints_PlusMissing,Q12InsectIDQuiz_DV_1_Dummy,Q12InsectIDQuiz_DV_2_Dummy,Q12InsectIDQuiz_DV_3_Dummy,Q12InsectIDQuiz_DV_4_Dummy,Q12InsectIDQuiz_DV_5_Dummy,Q12InsectIDQuiz_DV_6_Dummy,Q12InsectIDQuiz_Score,Q12InsectIDQuiz_DV_6_ScoreScaled,CE_TasksConsequentiality_1_Scaled,CE_TasksConsequentiality_2_Scaled,QX_BidVector_All,CE_ANA_None,CE_ANA_All,first_switch_task,always_chose_two,DiscountRate,DiscountRate_Transform,DiscountRate_Scaled,DESIGN_ROW,Task,SEQ,Choice,Insect_PlanA,Encounter_PlanA,Existence_PlanA,Bequest_PlanA,Tax_PlanA,Insect_PlanB,Encounter_PlanB,Existence_PlanB,Bequest_PlanB,Tax_PlanB,Insect_PlanC,Encounter_PlanC,Existence_PlanC,Bequest_PlanC,Tax_PlanC,av_PlanA,av_PlanB,av_PlanC,ID,Respondent,Insect_PlanA_Words,Insect_PlanB_Words,Insect_PlanC_Words,Encounter_PlanA_Values,Encounter_PlanB_Values,Encounter_PlanC_Values,Existence_PlanA_Values,Existence_PlanB_Values,Existence_PlanC_Values,Bequest_PlanA_Values,Bequest_PlanB_Values,Bequest_PlanC_Values,Tax_PlanA_Values,Tax_PlanB_Values,Tax_PlanC_Values,SerialSQ
444,1725897886.74768,2024-09-09T18:04:46.748Z,444.539,1,,31,1,1,2,1,BD20,9,5,Ant,Beetle,Creepy,Beetle,Any,Ladybug,1,5,4,1,4,3,3,2,4,Ant: incorrect,Wasp: correct,Beetle: correct,Beetle: correct,Bee: correct,Wasp: incorrect,4,2,1,1,1,1,1,1,1,1,1,4,1,100,2,-2,,,1,2,1,2,3,3,2,1,3,,,100,100,100,1,1,1,1,1,44,12,14,15,25,17,14,19,25,15,17,11,1,2,13,15,4,3,14,9,6,10,7,6,20,26,8,21,15,10,9,1,12,19,15,12,11,27,21,14,12,14,21,15,6,85,92,91,90,94,88,94,95,87,93,10,70,82,84,86,15,90,5,3,5,5,2,2,2,1,2,2,5,2,2,2,2,2,2,2,2,2,1,No,1,100,Thank you,444.539,426.91608,1316.32458,1,1,127.458678007126,230.79923915863,103.340561151504,103.828797798157,320.138793210983,0,1,1,0,1,2750.5,0,30-44,1,0,1,0,0,37,2750.5,0,1,1,1,1,0,4,66.67,4,1,100,0,1,1,FALSE,85.06,Normal,0.00000657815268570151,17,1,1,1,3,1,1,2,2,3,2,2,1,6,3,1,1,1,1,1,1,1,1,1,Beetles,Beetles,Beetles,15,30,0,15,30,0,30,15,0,5,80,0,0
444,1725897886.74768,2024-09-09T18:04:46.748Z,444.539,1,,31,1,1,2,1,BD20,9,5,Ant,Beetle,Creepy,Beetle,Any,Ladybug,1,5,4,1,4,3,3,2,4,Ant: incorrect,Wasp: correct,Beetle: correct,Beetle: correct,Bee: correct,Wasp: incorrect,4,2,1,1,1,1,1,1,1,1,1,4,1,100,2,-2,,,1,2,1,2,3,3,2,1,3,,,100,100,100,1,1,1,1,1,44,12,14,15,25,17,14,19,25,15,17,11,1,2,13,15,4,3,14,9,6,10,7,6,20,26,8,21,15,10,9,1,12,19,15,12,11,27,21,14,12,14,21,15,6,85,92,91,90,94,88,94,95,87,93,10,70,82,84,86,15,90,5,3,5,5,2,2,2,1,2,2,5,2,2,2,2,2,2,2,2,2,1,No,1,100,Thank you,444.539,426.91608,1316.32458,1,1,127.458678007126,230.79923915863,103.340561151504,103.828797798157,320.138793210983,0,1,1,0,1,2750.5,0,30-44,1,0,1,0,0,37,2750.5,0,1,1,1,1,0,4,66.67,4,1,100,0,1,1,FALSE,85.06,Normal,0.00000657815268570151,4,6,6,3,3,2,2,1,2,3,1,1,2,6,3,1,1,1,1,1,1,1,2,1,Beetles,Beetles,Beetles,30,15,0,30,15,0,15,30,0,5,80,0,0
444,1725897886.74768,2024-09-09T18:04:46.748Z,444.539,1,,31,1,1,2,1,BD20,9,5,Ant,Beetle,Creepy,Beetle,Any,Ladybug,1,5,4,1,4,3,3,2,4,Ant: incorrect,Wasp: correct,Beetle: correct,Beetle: correct,Bee: correct,Wasp: incorrect,4,2,1,1,1,1,1,1,1,1,1,4,1,100,2,-2,,,1,2,1,2,3,3,2,1,3,,,100,100,100,1,1,1,1,1,44,12,14,15,25,17,14,19,25,15,17,11,1,2,13,15,4,3,14,9,6,10,7,6,20,26,8,21,15,10,9,1,12,19,15,12,11,27,21,14,12,14,21,15,6,85,92,91,90,94,88,94,95,87,93,10,70,82,84,86,15,90,5,3,5,5,2,2,2,1,2,2,5,2,2,2,2,2,2,2,2,2,1,No,1,100,Thank you,444.539,426.91608,1316.32458,1,1,127.458678007126,230.79923915863,103.340561151504,103.828797798157,320.138793210983,0,1,1,0,1,2750.5,0,30-44,1,0,1,0,0,37,2750.5,0,1,1,1,1,0,4,66.67,4,1,100,0,1,1,FALSE,85.06,Normal,0.00000657815268570151,3,5,5,3,2,1,2,1,1,2,2,1,2,5,2,1,1,1,1,1,1,1,3,1,Bees,Bees,Bees,15,30,0,30,15,0,15,30,0,2.5,40,0,0
444,1725897886.74768,2024-09-09T18:04:46.748Z,444.539,1,,31,1,1,2,1,BD20,9,5,Ant,Beetle,Creepy,Beetle,Any,Ladybug,1,5,4,1,4,3,3,2,4,Ant: incorrect,Wasp: correct,Beetle: correct,Beetle: correct,Bee: correct,Wasp: incorrect,4,2,1,1,1,1,1,1,1,1,1,4,1,100,2,-2,,,1,2,1,2,3,3,2,1,3,,,100,100,100,1,1,1,1,1,44,12,14,15,25,17,14,19,25,15,17,11,1,2,13,15,4,3,14,9,6,10,7,6,20,26,8,21,15,10,9,1,12,19,15,12,11,27,21,14,12,14,21,15,6,85,92,91,90,94,88,94,95,87,93,10,70,82,84,86,15,90,5,3,5,5,2,2,2,1,2,2,5,2,2,2,2,2,2,2,2,2,1,No,1,100,Thank you,444.539,426.91608,1316.32458,1,1,127.458678007126,230.79923915863,103.340561151504,103.828797798157,320.138793210983,0,1,1,0,1,2750.5,0,30-44,1,0,1,0,0,37,2750.5,0,1,1,1,1,0,4,66.67,4,1,100,0,1,1,FALSE,85.06,Normal,0.00000657815268570151,2,4,4,2,3,2,1,2,1,3,1,2,1,5,3,1,1,1,1,1,1,1,4,1,Beetles,Beetles,Beetles,30,15,0,15,30,0,30,15,0,2.5,40,0,0
444,1725897886.74768,2024-09-09T18:04:46.748Z,444.539,1,,31,1,1,2,1,BD20,9,5,Ant,Beetle,Creepy,Beetle,Any,Ladybug,1,5,4,1,4,3,3,2,4,Ant: incorrect,Wasp: correct,Beetle: correct,Beetle: correct,Bee: correct,Wasp: incorrect,4,2,1,1,1,1,1,1,1,1,1,4,1,100,2,-2,,,1,2,1,2,3,3,2,1,3,,,100,100,100,1,1,1,1,1,44,12,14,15,25,17,14,19,25,15,17,11,1,2,13,15,4,3,14,9,6,10,7,6,20,26,8,21,15,10,9,1,12,19,15,12,11,27,21,14,12,14,21,15,6,85,92,91,90,94,88,94,95,87,93,10,70,82,84,86,15,90,5,3,5,5,2,2,2,1,2,2,5,2,2,2,2,2,2,2,2,2,1,No,1,100,Thank you,444.539,426.91608,1316.32458,1,1,127.458678007126,230.79923915863,103.340561151504,103.828797798157,320.138793210983,0,1,1,0,1,2750.5,0,30-44,1,0,1,0,0,37,2750.5,0,1,1,1,1,0,4,66.67,4,1,100,0,1,1,FALSE,85.06,Normal,0.00000657815268570151,1,3,3,1,1,2,2,2,4,1,1,1,1,3,1,1,1,1,1,1,1,1,5,1,Wasps,Wasps,Wasps,30,15,0,30,15,0,30,15,0,20,10,0,0
444,1725897886.74768,2024-09-09T18:04:46.748Z,444.539,1,,31,1,1,2,1,BD20,9,5,Ant,Beetle,Creepy,Beetle,Any,Ladybug,1,5,4,1,4,3,3,2,4,Ant: incorrect,Wasp: correct,Beetle: correct,Beetle: correct,Bee: correct,Wasp: incorrect,4,2,1,1,1,1,1,1,1,1,1,4,1,100,2,-2,,,1,2,1,2,3,3,2,1,3,,,100,100,100,1,1,1,1,1,44,12,14,15,25,17,14,19,25,15,17,11,1,2,13,15,4,3,14,9,6,10,7,6,20,26,8,21,15,10,9,1,12,19,15,12,11,27,21,14,12,14,21,15,6,85,92,91,90,94,88,94,95,87,93,10,70,82,84,86,15,90,5,3,5,5,2,2,2,1,2,2,5,2,2,2,2,2,2,2,2,2,1,No,1,100,Thank you,444.539,426.91608,1316.32458,1,1,127.458678007126,230.79923915863,103.340561151504,103.828797798157,320.138793210983,0,1,1,0,1,2750.5,0,30-44,1,0,1,0,0,37,2750.5,0,1,1,1,1,0,4,66.67,4,1,100,0,1,1,FALSE,85.06,Normal,0.00000657815268570151,9,2,2,2,1,1,1,2,2,1,2,2,1,5,1,1,1,1,1,1,1,1,6,1,Wasps,Wasps,Wasps,15,30,0,15,30,0,30,15,0,5,40,0,0
444,1725897886.74768,2024-09-09T18:04:46.748Z,444.539,1,,31,1,1,2,1,BD20,9,5,Ant,Beetle,Creepy,Beetle,Any,Ladybug,1,5,4,1,4,3,3,2,4,Ant: incorrect,Wasp: correct,Beetle: correct,Beetle: correct,Bee: correct,Wasp: incorrect,4,2,1,1,1,1,1,1,1,1,1,4,1,100,2,-2,,,1,2,1,2,3,3,2,1,3,,,100,100,100,1,1,1,1,1,44,12,14,15,25,17,14,19,25,15,17,11,1,2,13,15,4,3,14,9,6,10,7,6,20,26,8,21,15,10,9,1,12,19,15,12,11,27,21,14,12,14,21,15,6,85,92,91,90,94,88,94,95,87,93,10,70,82,84,86,15,90,5,3,5,5,2,2,2,1,2,2,5,2,2,2,2,2,2,2,2,2,1,No,1,100,Thank you,444.539,426.91608,1316.32458,1,1,127.458678007126,230.79923915863,103.340561151504,103.828797798157,320.138793210983,0,1,1,0,1,2750.5,0,30-44,1,0,1,0,0,37,2750.5,0,1,1,1,1,0,4,66.67,4,1,100,0,1,1,FALSE,85.06,Normal,0.00000657815268570151,5,7,7,2,2,1,1,1,3,2,2,2,2,6,2,1,1,1,1,1,1,1,7,1,Bees,Bees,Bees,15,30,0,15,30,0,15,30,0,10,80,0,0
444,1725897886.74768,2024-09-09T18:04:46.748Z,444.539,1,,31,1,1,2,1,BD20,9,5,Ant,Beetle,Creepy,Beetle,Any,Ladybug,1,5,4,1,4,3,3,2,4,Ant: incorrect,Wasp: correct,Beetle: correct,Beetle: correct,Bee: correct,Wasp: incorrect,4,2,1,1,1,1,1,1,1,1,1,4,1,100,2,-2,,,1,2,1,2,3,3,2,1,3,,,100,100,100,1,1,1,1,1,44,12,14,15,25,17,14,19,25,15,17,11,1,2,13,15,4,3,14,9,6,10,7,6,20,26,8,21,15,10,9,1,12,19,15,12,11,27,21,14,12,14,21,15,6,85,92,91,90,94,88,94,95,87,93,10,70,82,84,86,15,90,5,3,5,5,2,2,2,1,2,2,5,2,2,2,2,2,2,2,2,2,1,No,1,100,Thank you,444.539,426.91608,1316.32458,1,1,127.458678007126,230.79923915863,103.340561151504,103.828797798157,320.138793210983,0,1,1,0,1,2750.5,0,30-44,1,0,1,0,0,37,2750.5,0,1,1,1,1,0,4,66.67,4,1,100,0,1,1,FALSE,85.06,Normal,0.00000657815268570151,7,9,9,3,1,1,2,2,4,1,2,1,1,2,1,1,1,1,1,1,1,1,8,1,Wasps,Wasps,Wasps,15,30,0,30,15,0,30,15,0,20,5,0,0
444,1725897886.74768,2024-09-09T18:04:46.748Z,444.539,1,,31,1,1,2,1,BD20,9,5,Ant,Beetle,Creepy,Beetle,Any,Ladybug,1,5,4,1,4,3,3,2,4,Ant: incorrect,Wasp: correct,Beetle: correct,Beetle: correct,Bee: correct,Wasp: incorrect,4,2,1,1,1,1,1,1,1,1,1,4,1,100,2,-2,,,1,2,1,2,3,3,2,1,3,,,100,100,100,1,1,1,1,1,44,12,14,15,25,17,14,19,25,15,17,11,1,2,13,15,4,3,14,9,6,10,7,6,20,26,8,21,15,10,9,1,12,19,15,12,11,27,21,14,12,14,21,15,6,85,92,91,90,94,88,94,95,87,93,10,70,82,84,86,15,90,5,3,5,5,2,2,2,1,2,2,5,2,2,2,2,2,2,2,2,2,1,No,1,100,Thank you,444.539,426.91608,1316.32458,1,1,127.458678007126,230.79923915863,103.340561151504,103.828797798157,320.138793210983,0,1,1,0,1,2750.5,0,30-44,1,0,1,0,0,37,2750.5,0,1,1,1,1,0,4,66.67,4,1,100,0,1,1,FALSE,85.06,Normal,0.00000657815268570151,6,8,8,1,2,2,2,1,6,2,1,1,2,1,2,1,1,1,1,1,1,1,9,1,Bees,Bees,Bees,30,15,0,30,15,0,15,30,0,80,2.5,0,0
424,1725897858.18242,2024-09-09T18:04:18.182Z,503.999,1,,26,1,1,2,13,B21,8,4,Creepy-crawlies,Ant,Bug,Bug,Fly,Spider,1,3,2,3,5,5,1,2,3,Beetle: incorrect,I don’t know: incorrect,I don’t know: incorrect,Ant: incorrect,Bee: correct,Beetle: correct,4,5,2,1,2,2,2,1,2,1,5,4,2,,,,1,,2,1,3,3,3,3,3,3,3,,,68,59,63,1,1,1,2,1,77,68,61,67,67,72,57,64,64,58,69,59,64,59,65,64,66,63,33,66,63,62,30,62,60,60,63,58,31,65,61,60,28,62,69,63,62,57,31,64,71,61,30,61,74,70,69,72,64,68,62,71,68,64,58,64,62,65,67,66,62,50,3,5,4,3,1,2,1,1,2,1,4,1,2,2,2,1,2,2,1,2,1,No,1,64,Good survey,503.999,426.91608,1316.32458,1,1,229.00980091095,311.748197078705,82.738396167755,103.828797798157,320.138793210983,0,1,1,0,1,2250.5,0,18-29,0,1,0,0,0,23.5,2250.5,0,0,0,0,1,1,2,33.33,0,1,1,0,0,2,FALSE,396.48,High,0.0000306619559937331,1,1,1,2,1,2,2,2,4,1,1,1,1,3,1,1,1,1,1,1,1,1,10,2,Wasps,Wasps,Wasps,30,15,0,30,15,0,30,15,0,20,10,0,0
